,ID,Class
0,377.jpg,MIDDLE
1,17814.jpg,YOUNG
2,21283.jpg,MIDDLE
3,16496.jpg,YOUNG
4,4487.jpg,MIDDLE
5,6283.jpg,MIDDLE
6,23495.jpg,YOUNG
7,7100.jpg,YOUNG
8,6028.jpg,YOUNG
9,22617.jpg,OLD
10,11177.jpg,YOUNG
11,2462.jpg,MIDDLE
12,24116.jpg,MIDDLE
13,17689.jpg,MIDDLE
14,728.jpg,MIDDLE
15,3003.jpg,MIDDLE
16,14408.jpg,OLD
17,6679.jpg,YOUNG
18,15152.jpg,OLD
19,24784.jpg,MIDDLE
20,9970.jpg,YOUNG
21,22550.jpg,OLD
22,150.jpg,YOUNG
23,7379.jpg,MIDDLE
24,15387.jpg,MIDDLE
25,2336.jpg,YOUNG
26,9603.jpg,MIDDLE
27,4025.jpg,OLD
28,17696.jpg,MIDDLE
29,17552.jpg,YOUNG
30,5345.jpg,YOUNG
31,19129.jpg,YOUNG
32,14286.jpg,MIDDLE
33,18235.jpg,MIDDLE
34,20499.jpg,MIDDLE
35,2728.jpg,YOUNG
36,5171.jpg,MIDDLE
37,25205.jpg,MIDDLE
38,12263.jpg,MIDDLE
39,25467.jpg,YOUNG
40,2132.jpg,MIDDLE
41,12677.jpg,YOUNG
42,9527.jpg,MIDDLE
43,19846.jpg,MIDDLE
44,1943.jpg,OLD
45,4639.jpg,MIDDLE
46,20686.jpg,YOUNG
47,2412.jpg,MIDDLE
48,3512.jpg,MIDDLE
49,22350.jpg,YOUNG
50,2691.jpg,MIDDLE
51,15224.jpg,MIDDLE
52,14864.jpg,MIDDLE
53,22930.jpg,YOUNG
54,24050.jpg,MIDDLE
55,7445.jpg,MIDDLE
56,24888.jpg,OLD
57,1031.jpg,MIDDLE
58,22890.jpg,OLD
59,11249.jpg,MIDDLE
60,13593.jpg,YOUNG
61,3631.jpg,MIDDLE
62,15523.jpg,YOUNG
63,20243.jpg,YOUNG
64,11345.jpg,MIDDLE
65,26340.jpg,MIDDLE
66,1195.jpg,OLD
67,17965.jpg,YOUNG
68,26054.jpg,YOUNG
69,16522.jpg,YOUNG
70,18131.jpg,YOUNG
71,20229.jpg,MIDDLE
72,4204.jpg,OLD
73,18855.jpg,MIDDLE
74,18266.jpg,MIDDLE
75,17075.jpg,OLD
76,13846.jpg,YOUNG
77,24302.jpg,MIDDLE
78,12982.jpg,MIDDLE
79,21288.jpg,MIDDLE
80,8324.jpg,MIDDLE
81,13890.jpg,MIDDLE
82,8177.jpg,MIDDLE
83,9669.jpg,YOUNG
84,19842.jpg,OLD
85,2675.jpg,MIDDLE
86,26465.jpg,YOUNG
87,5641.jpg,MIDDLE
88,17843.jpg,YOUNG
89,26070.jpg,MIDDLE
90,6808.jpg,MIDDLE
91,777.jpg,YOUNG
92,7717.jpg,MIDDLE
93,2225.jpg,YOUNG
94,852.jpg,YOUNG
95,12619.jpg,YOUNG
96,5843.jpg,MIDDLE
97,20147.jpg,OLD
98,15364.jpg,MIDDLE
99,5824.jpg,YOUNG
100,5671.jpg,OLD
101,24021.jpg,YOUNG
102,18961.jpg,MIDDLE
103,10757.jpg,MIDDLE
104,18115.jpg,MIDDLE
105,18305.jpg,MIDDLE
106,20262.jpg,MIDDLE
107,26028.jpg,MIDDLE
108,12301.jpg,MIDDLE
109,17881.jpg,YOUNG
110,5397.jpg,OLD
111,19323.jpg,MIDDLE
112,24429.jpg,OLD
113,17693.jpg,MIDDLE
114,26195.jpg,MIDDLE
115,8421.jpg,YOUNG
116,4969.jpg,YOUNG
